2026.5.24,色情酒店（1994）,欧美,Atom Egoyan,,,
2026.5.23,蒙巴纳斯（2009）,欧美/INFP影像,Mikhaël Hers,,,
2026.5.23,报春花冈（2007）,欧美/INFP影像,Mikhaël Hers,,,
2026.5.21,盗日者（1979）,日影,长谷川和彦,,,
2026.5.20,花月佳期（1995）,华语,徐克,,,
2026.5.14,黑道小狂花（2001）,东欧苏俄,Sergei Bodrov Jr.,guest,,
2026.5.10,晚安，母亲（1986）,欧美,Tom Moore/Martha Norman,母亲节,,
2026.5.9,笑刃荒途（2025）,欧美/非洲,Pedro Pinho,人类学影像5,,
2026.5.6,和你在一起（2002）,华语,陈凯歌,guest,,
2026.5.1,红色之路（2006）,欧美,Andrea Arnold,英国现实主义3,,
2026.4.29,刀（1995）,华语/奇观影像,徐克,,,
2026.4.24,香蕉天堂（1989）,华语,王童,guest,,
2026.4.22,上海之夜（1984）,华语,徐克,,,
2026.4.14,我记住的歌（2011）,日影,杉田协士,,,
2026.4.13,疯劫（1979）,华语/奇观影像,许鞍华/陈韵文,香港新浪潮5,,
2026.4.10,谁要杀死杰茜？（1966）,东欧苏俄/喜剧,Václav Vorlícek,,,
2026.4.7,肉与灵（2017）,欧美,Ildikó Enyedi,,,
2026.4.5,布拉格之恋（1988）,欧美,Philip Kaufman,guest,,
2026.4.3,影子部队（1969）,欧美,Jean-Pierre Melville,guest,,
2026.4.2,生生长流（1992）,中东,Abbas Kiarostami,guest,,
2026.3.31,女孩们都很好（2023）,欧美/女性/INFP影像,Itsaso Arana,,,
2026.3.28,家书（1986）,欧美/女性,Chantal Akerman/Rose Leiman Goldemberg,guest,,
2026.3.27,明天我们搬家（2004）,欧美/女性,Chantal Akerman,guest,,
2026.3.25,名剑（1980）,华语,谭家明,香港新浪潮4,,
2026.3.22,DB（2026）,华语,张帅,guest,,
2026.3.20,唐朝豪放女（1984）,华语/奇观影像,方令正,香港新浪潮3,,
2026.3.16,对她说（2002）,欧美,Pedro Almodóvar,guest,,
2026.3.14,曼谷之夜（2016）,日影/东南亚/左翼,富田克也,性工作者肖像7,人类学影像4,Hauntology2
2026.3.13,绿行星（1996）,欧美/喜剧,Coline Serreau,guest,,
2026.3.11,是的（2025）,中东,Nadav Lapid,,,
2026.3.9,破碎之镜（1984）,欧美/女性,Marleen Gorris,性工作者肖像6,,
2026.3.8,她们的疯狂（1983）,欧美/女性,Margarethe von Trotta,,,
2026.3.7,夜班时分（1981）,欧美,Robina Rose,,,
2026.3.7,情色剧院（1983）,欧美/女性,Bette Gordon,纽约,,
2026.3.7,真幻之爱（1984）,欧美,Jacques Rivette,,,
2026.3.6,谢尔曼的征程（1985）,欧美,Ross McElwee,,,
2026.3.5,金都（2019）,华语/女性,黄绮琳,,,
2026.2.28,空山灵雨（1979）,华语,胡金铨,guest,,
2026.2.27,死亡万岁（1971）,欧美/奇观影像,Fernando Arrabal,guest,,
2026.2.26,破碎太阳之心（2022）,华语/短片,毕赣,guest,,
2026.2.26,杀手蝴蝶梦（1989）,华语/奇观影像,谭家明,香港新浪潮2,,
2026.2.25, 时间不确定（1993）,欧美,Ross McElwee,,,
2026.2.21,卡洛斯（2010）,欧美,Olivier Assayas,,,
2026.2.19,耶里肖（2008）,欧美,Christian Petzold,,,
2026.2.16,八仙饭店之人肉叉烧包（1993）,华语/奇观影像,邱礼涛,guest,,
2026.2.12,一只市民阶级犬的自我批评（2017）,欧美/喜剧,Julian Radlmaier,,,
2026.2.11,我的二十世纪（1989）,欧美/女性,Ildikó Enyedi,,,
2026.2.9,镜的第三乐章（2025）,欧美,Christian Petzold,,,
2026.2.9,热带小径（1977）,拉美/短片,Joaquim Pedro de Andrade,无单独豆瓣条目,,
2026.2.3,梦想的生活（1972）,欧美/女性,Mireille Dansereau,,,
2026.1.20,猎鹰湖（2022）,欧美,Charlotte Le Bon,guest,,
2026.1.16,电话铃响的时候（2025）,巴尔干前南,Iva Radivojević,guest,,
2026.1.14,情人（2002）,东欧苏俄,Valery Todorovsky,guest,,
2026.1.13,舍间声响（2012）,拉美,Kleber Mendonça Filho,Hauntology1,,
2026.1.7,巴黎夏日（2025）,欧美/INFP影像,Valentine Cadic,,,
2026.1.7,夏日假期（2022）,欧美/INFP影像,Valentine Cadic,,,
2026.1.3,流氓医生（1995）,华语/喜剧,李志毅,,,
2026.1.2,光明的未来（2002）,日影/电波,黑泽清,,,
2025.12.27,妙想天开（1985）,欧美/奇观影像/影史经典,Terry Gilliam,,,
2025.12.27,桃色公寓（1960）,欧美/喜剧/影史经典,Billy Wilder,纽约,,
2025.12.27,流砂幻爱（1995）,日影/酷儿,桥口亮辅,,,
2025.12.26,潘金莲之前世今生（1989）,华语/奇观影像,罗卓瑶/李碧华,,,
2025.12.24,迷雾中的小刺猬（1975）,东欧苏俄/动画/短片,Yuriy Norshteyn/Sergei Kozlov,2026.2.27重放,guest,
2025.12.24,电子管（2007）,东欧苏俄/短片,Radu Jude,,,
2025.12.24,捷克惊魂夜（2007）,动画/东欧苏俄/奇观影像,Jan Balej,,,
2025.12.21,积少成多（1970）,欧美/非洲,Jean Rouch,人类学影像3,,
2025.12.21,千面珍宝金（1988）,欧美,Agnès Varda,Documentary?2,,
2025.12.20,普通事故（2025）,中东,Jafar Panahi,guest,,
2025.12.19,The Invention of the Other（2022）,拉美,Bruno Jorge,人类学影像2,,
2025.12.11,且唱且珍惜（2023）,拉美/东欧苏俄,Leandro Koch/Paloma Schachmann,人类学影像1,Documentary?1,
2025.12.10,秋天的童话（1987）,华语,张婉婷/罗启锐,移民故事2,纽约,
2025.12.5,爱在别乡的季节（1990）,华语,罗卓瑶/方令正,移民故事1,纽约,
2025.12.4,主要音调（2023）,拉美/电波,Ingrid Pokropek,,,
2025.11.28,茶之味（2004）,日影/喜剧,石井克人,guest,,
2025.11.26,诱僧（1993）,华语/奇观影像,罗卓瑶/方令正/李碧华,,,
2025.11.26,夕阳天使（2002）,华语/奇观影像,元奎/刘镇伟,guest,,
2025.11.21,外星奇遇（1986）,东欧苏俄/喜剧,Georgi Daneliya,,,
2025.11.17,不要太期待世界末日（2023）,东欧苏俄,Radu Jude,,,
2025.11.16,季风婚宴（2001）,印度/喜剧,Mira Nair/Sabrina Dhawan,,,
2025.11.15,事情原来是这样的……（1994）,欧美,Tom Noonan,,纽约,
2025.11.15,非快速眼动之窗（2022）,日影/喜剧,笨蛋节奏等,,,
2025.7.1,无熊之境（2022）,中东,Jafar Panahi,,,
2025.6.27,日常（2021）,华语,许雅舒,无豆瓣条目,guest,
2025.6.24,星球大战（1977）,欧美,George Lucas,,,
2025.6.21,四月物语（1998）,日影/INFP影像,岩井俊二,,,
2025.6.18,杀羊人（1978）,欧美,Charles Burnett,,,
2025.6.15,恋恋风尘（1986）,华语,侯孝贤,guest,,
2025.6.14,热天午后（1975）,欧美,Sidney Lumet,guest,纽约,
2025.6.12,惊世狂花（1996）,欧美/酷儿,Wachowski sisters,,,
2025.6.11,最佳出价（2013）,欧美,Giuseppe Tornatore,guest,,
2025.6.11,浴室里的鳄鱼（2009）,欧美/动画/短片,Kaspar Jancis,guest,,
2025.6.9,妖怪人（1979）,印度/奇观影像,Govindan Aravindan,,,
2025.6.9,Rehearsals for Retirement（2007）,欧美/短片/实验,Philip S. Solomon,guest,,
2025.6.8,安然无恙（1995）,欧美,Todd Haynes,,,
2025.6.7,医生（2006）,华语,钟孟宏,guest,,
2025.6.6,奥兰多（1992）,欧美/奇观影像/酷儿,Sally Potter,,,
2025.6.4,宽恕（2024）,欧美/酷儿,Alain Guiraudie,,,
2025.5.31,笑林小子（1994）,华语/喜剧,朱延平,,,
2025.5.30,梦旅人（1996）,日影/INFP影像/电波,岩井俊二,,,
2025.5.28,在黑暗的时代（2002）,欧美/短片/实验,Jean-Luc Godard,,,
2025.5.28,纳萨林（1959）,拉美,Luis Buñuel,,,
2025.5.28,我看见了一只美洲狮（2011）,拉美/短片/实验,Eduardo Williams,,,
2025.5.26,神话（1985）,欧美/惊悚/奇观影像,Dario Argento,,,
2025.5.26,惊恐小镇（2009）,欧美/喜剧/奇观影像/动画,Stéphane Aubier/Vincent Patar,,,
2025.5.26,在她们眼中（2022）,欧美/短片,Alice Rohrwacher,,,
2025.5.26,都市寓言（2024）,欧美/短片/奇观影像,Alice Rohrwacher/JR,2025.11.15重放,,
2025.5.25,有一天皮娜问我（1989）,欧美,Chantal Akerman,guest,,
2025.5.24,20世纪的乡愁（1997）,日影/INFP影像/电波,原将人,,,
2025.5.23,初缠恋后的2人世界（1997）,华语/喜剧,葛民辉,,,
2025.5.16,他他她他他（2018）,东南亚,Dwein Baltazar,,,
2025.5.14,公园的沙池（2022）,日影/INFP影像,黑川幸则,,,
2025.5.10,非家庭电影（2015）,欧美/实验,Chantal Akerman,母亲节,,
2025.5.7,罗塞塔（1999）,欧美/影史经典,Dardenne brothers,,,
2025.5.4,昨日青春（2024）,日影,空音央,,,
2025.5.3,侠女（1970）,华语/奇观影像,胡金铨,guest,,
2025.5.2,观看《他人之痛》（2018）,欧美/女性/短片,Lého Galibert-Laîné,,,
2025.4.26,共同的语言（2024）,欧美,Matthew Rankin,,,
2025.4.18,木星的初恋（2006）,东南亚,Yasmin Ahmad,,,
2025.4.11,我仍在此（2024）,拉美,Walter Salles,,,
2025.3.30,花火（1997）,日影,北野武,,,
2025.3.29,海上花（1998）,华语,侯孝贤,guest,,
2025.3.28,女孩终究是女孩（2024）,印度/女性,Shuchi Talati,,,
2025.3.22,橘色（2015）,欧美/酷儿,Sean Baker,性工作者肖像5,guest,
2025.3.21,工薪女孩（1986）,欧美/女性/左翼,Lizzie Borden,性工作者肖像4,纽约,
2025.3.15,默文·卡拉（2002）,欧美,Lynne Ramsay,,,
2025.3.14,德国姊妹（1981）,欧美/女性,Margarethe von Trotta,,,
2025.3.8,绿光（1986）,欧美,Éric Rohmer,,,
2025.3.8,午后阴影（2017）,印度/短片,Payal Kapadia,,,
2025.3.8,竖笛考试（2011）,韩影/短片,金宝拉,,,
2025.3.8,82年生的金智英（2019）,韩影/女性,金度英,,,
2025.3.7,出走的决心（2024）,华语/女性,尹丽川,,,
2025.3.2,我想聊聊杜拉斯（2021）,欧美,Claire Simon,guest,,
2025.2.28,鱼缸（2009）,欧美,Andrea Arnold,英国现实主义2,,
2025.2.23, 盗信情缘（1997）,日影/喜剧,萨布,,,
2025.2.23,豆芽（2013）,韩影/短片,尹佳恩,,,
2025.2.16,大只佬（2003）,华语,杜琪峰/韦家辉,guest,,
2025.2.14,柏蒂娜的苦泪（1972）,欧美/酷儿,Rainer Werner Fassbinder,,,
2025.2.8,秘密与谎言（1996）,欧美,Mike Leigh,英国现实主义1,,
2025.2.7,密阳（2007）,韩影,李沧东,,,
2025.1.31,爱情与无政府（1973）,欧美,Lina Wertmüller,性工作者肖像3,,
2025.1.28,爱情来了（1998）,华语/喜剧,陈玉勋,,,
2025.1.25,豆满江（2010）,韩影,张律,guest,,
2025.1.24,红颜（2005）,华语/女性,李玉,,,
2025.1.24,姐姐（1996）,华语/短片/女性,李玉,,,
2025.1.18,Łukasz i Lotta（2012）,短片/东欧苏俄/动画,Renata Gąsiorowska,无豆瓣条目,,
2025.1.18,涩谷24小时（1997）,日影/INFP影像,原田真人,性工作者肖像2,,
2025.1.17,陌生人为伴（1990）,欧美,Cynthia Scott,关怀老年人3,,
2024.12.29,黄蜂（2003）,欧美/短片/INFP影像,Andrea Arnold,,,
2024.12.29,鱼的故事（2009）,日影/喜剧,中村义洋/伊坂幸太郎,,,
2024.12.27,猫皮（1962）,拉美/短片,Joaquim Pedro de Andrade,,,
2024.12.27,小奏鸣曲（1984）,欧美/INFP影像, Micheline Lanctôt,,,
2024.12.20,逃家（1971）,欧美/喜剧,Miloš Forman,纽约,,
2024.12.6,三粒粗盐（2022）,欧美/短片,Ingrid Chikhaoui,,,
2024.12.6,爱（2012）,欧美,Michael Haneke,关怀老年人2,,
2024.12.1,鬼汤（1995）,日影/INFP影像,岩井俊二,,,
2024.12.1,烟花（1995）,日影/INFP影像,岩井俊二,,,
2024.12.1,蓦然回首（2024）,日影/动画/INFP影像,押山清高,,,
2024.11.29,"传说在下午,有时会遇到吸血鬼（1966）",日影/短片/奇观影像/实验,大林宣彦,,,
2024.11.29,为吾子寄信吾母（2022）,欧美/短片/实验,Carla Simón,,,
2024.11.29,下妻物语（2004）,日影/喜剧,中岛哲也,,,
2024.11.23,美国甜心（2016）,欧美/INFP影像,Andrea Arnold,,,
2024.11.23,电话谋杀案（1954）,欧美,Alfred Hitchcock,guest,,
2024.11.22,太阳狗（2019）,东欧苏俄/短片/奇观影像/INFP影像,Dorian Jespers,2024.11.29重放,,
2024.11.22,夜幕降临上海（2007）,欧美/短片,Chantal Akerman,,,
2024.11.22,秘密花园（1997）,日影/喜剧,矢口史靖,,,
2024.11.22,Examen d’entrée INSAS（1967）,欧美/短片,Chantal Akerman,,,
2024.11.22,怠惰女子的肖像（1986）,欧美/短片,Chantal Akerman,,,
2024.11.22,噪音如是说（2010）,日影/短片/酷儿,小田香,,,
2024.11.16,入侵（1969）,拉美,Hugo Santiago,,,
2024.11.15,东京家族（2013）,日影,山田洋次,关怀老年人1,,
2024.11.8,肮脏的爱情（1995）,欧美/女性,Mario Martone/Elena Ferrante,guest,,
2024.11.3,再见，杰罗姆！(2022),欧美/奇观影像/短片/动画,Chloé Farr/Adam Sillard/Gabrielle Selnet,,,
2024.11.3,花与爱丽丝杀人事件（2015）,INFP影像/日影/动画,岩井俊二,,,
2024.10.25,热带鱼（1995）,华语/喜剧,陈玉勋,,,
2024.10.20,最后大浪（1977）,澳洲,Peter Weir,guest,,
2024.10.18,然后我们跳了舞（1996）,东欧苏俄/酷儿,Levan Akin,guest,,
2024.10.13,国王的电影（1986）,拉美/奇观影像,Carlos Sorín,,,
2024.10.11,人·鬼·情（1987）,华语/女性,黄蜀芹,,,
2024.10.8,观影室（2020）,中东/左翼,Ra'anan Alexandrowicz,,,
2024.10.6,你妈妈也一样（2001）,拉美/影史经典,Alfonso Cuarón,,,
2024.9.29,天涯沦落女（1985）,欧美/女性/影史经典,Agnès Varda,,,
2024.9.27,鬼怪屋（1977）,日影/喜剧/奇观影像,大林宣彦,2024.11.1重放,,
2024.9.22,修罗雪姬（1973）,日影/奇观影像,藤田敏八/小池一夫,,,
2024.9.22,被嫌弃的松子的一生（2006）,日影/影史经典,中岛哲也,,,
2024.9.15,独自生活的人们（2021）,韩影,洪性恩,,,
2024.9.14,青春祭（1985）,华语,张暖忻,,,
2024.9.13,Contretemps（2021）,短片/欧美/动画,Various Artists,,,
2024.9.13,Pussy (Cipka)（2016）,短片/女性/东欧苏俄/奇观影像/动画,Renata Gąsiorowska,2024.11.3重放,,
2024.9.13,怪谈（1964）,日影/影史经典,小林正树/小泉八云,guest,,
2024.9.8,绿色唱片（2004）,拉美/短片/奇观影像,Kleber Mendonça Filho,,,
2024.9.8,帕乌利什塔的手（1998）,东欧苏俄/短片,Cristian Mungiu,,,
2024.9.8,身体记着世间何时崩裂（2019）,欧美/女性,Kathleen Hepburn/Elle-Máijá Tailfeathers,,,
2024.9.8,X圣治（1997）,日影/惊悚/影史经典/电波,黑泽清,,,
2024.9.2,花与爱丽丝（2004）,INFP影像/日影,岩井俊二,,,
2024.9.1,欢乐街（1995）,欧美/短片/动画/奇观影像,Suzan Pitt,guest,,
2024.9.1,芦笋（1979）,欧美/女性/短片/动画/奇观影像,Suzan Pitt,guest,,
2024.9.1,硝烟中诞生（1983）,欧美/左翼/女性,Lizzie Borden,纽约,,
2024.8.31,东京金盏花（2001）,INFP影像/日影,市川准,,,
2024.8.29,自梳（1997）,华语/女性/酷儿,张之亮/小唐,,,
2024.8.28,爱与时尚（1998）,INFP影像/日影/电波,庵野秀明,guest,,
2024.8.25,妓院里的回忆（2011）,欧美,Bertrand Bonello,性工作者肖像1,,
2024.8.22,人鱼传说（1984）,日影/奇观影像,池田敏春,guest,,
2024.8.21,三女性（1977）,欧美/影史经典,Robert Altman,,,
2024.8.20,夏日感悟（2015）,INFP影像/欧美,Mikhaël Hers,,,
2024.8.17,巴黎夜旅人（2022）,INFP影像/欧美,Mikhaël Hers,,,
2024.8.10,丛林怪兽（1969）,拉美/奇观影像,Joaquim Pedro de Andrade,,,
2024.7.28,贫穷的吸血鬼（1978）,拉美/左翼/短片,Carlos Mayolo/Luis Ospina,,,
2024.7.27,我的狗狗王子（2011）,欧美/实验,田芬,guest,,
2024.7.27,My house walk-through（2016）,日影/实验/短片/惊悚,PiroPito（nana825763）,,,
2024.7.25,放大（1966）,欧美/影史经典,Michelangelo Antonioni,,,
2024.7.21,琳达！琳达！琳达！（2005）,INFP影像/日影,山下敦弘,,,
2024.7.21,李文漫游东湖（2015）,华语,李珞,,,
2024.7.11,交通意外（1971）,欧美/喜剧,Jacques Tati,,,
2024.7.11,杀手烙印（1967）,日影,铃木清顺,guest,,
2024.7.11,钟声（2024）,日影/短片/电波,黑泽清,,,
2024.7.7,唐皇游地府（2012）,华语,李珞,,,
2024.7.7,清洁（2004）,欧美,Olivier Assayas,,,
2024.6.29,哈哈笑（2002）,欧美,Andrew Bujalski,guest,,
2024.6.29,猫样少女（2001）,韩影/女性/INFP影像,郑在恩,,,
2024.6.27,八美图（2002）,欧美,François Ozon,guest,,
2024.6.23,投奔怒海（1982）,华语/影史经典,许鞍华/邱刚健,香港新浪潮1,,
2024.6.19,寻找西瓜女（1996）,欧美/女性/酷儿/左翼,Cheryl Dunye,,,
2024.6.16,女朋友（1978）,欧美/女性,Claudia Weill,纽约,,
2024.6.9,还有明天（2023）,欧美/女性,Paola Cortellesi,,,
2024.6.4,金甲虫（2014）,拉美/左翼,Alejo Moguillansky/Mariano Llinás,,,
2024.6.2,黑暗（1982）,欧美/惊悚/奇观影像,Dario Argento,,,
2024.5.28,甜蜜的东方（2023）,欧美,Sean Price Williams,,,
2024.5.26,火之谜（2023）,欧美/喜剧,Weston Razooli,,,
2024.5.18,悲情城市（1989）,华语/影史经典,侯孝贤,,,
2024.5.10,我们天上见（2009）,华语,蒋雯丽,,,
2024.5.4,战争花园（1969）,拉美,Neville de Almeida,,,
2024.4.29,天国还很遥远（2016）,日影/短片/电波,滨口龙介,,,
2024.4.20,巴黎浮世绘（2000）,欧美,Michael Haneke,,,
2024.4.20,赤裸童年（1968）,欧美,Maurice Pialat,,,
2024.4.12,蔷薇的葬礼（1969）,日影/酷儿/影史经典/实验,松本俊夫,,,
2024.4.12,东方三侠（1993）,华语,杜琪峰/邵丽琼,,,
2024.4.7,安东尼娅家族（1995）,欧美/女性,Marleen Gorris,,,
2024.4.6,草迷宫（1979）,日影/奇观影像/短片,寺山修司,,,
2024.4.6,女囚701号-蝎子（1972）,日影/奇观影像,伊藤俊也/篠原とおる,,,
2024.3.31,顺流逆流（2000）,华语,徐克,,,
2024.3.29,机器人之梦（2023）,欧美/动画,Pablo Berger,,,
2024.3.28,女伶们（1968）,欧美/女性,Mai Zetterling,,,
2024.3.23,潘神的迷宫（2006）,拉美/影史经典,Guillermo del Toro,,,
2024.3.17,特沃塔和我（1993）,欧美,Patricia Mazuy,,,
2024.3.8,漫画家之路（2001）,欧美/喜剧/奇观影像,Tom Green,,,
2024.3.8,铲车司机克劳斯—第一个工作日（2000）,欧美/奇观影像/喜剧/短片,Stefan Prehn/Jörg Wagner,,,
2024.3.2,梁祝（1994）,华语,徐克,,,
2024.3.2,野玫瑰之恋（1960）,华语,王天林/秦羽,,,
2024.3.2,四月三周两天（2007）,东欧苏俄/影史经典,Cristian Mungiu,,,
2024.2.14,东黑斯廷斯药房（2012）,欧美/短片,Antoine Bourges,,,
2024.2.14,恐怖歌剧（1987）,欧美/惊悚/奇观影像,Dario Argento,,,
2024.2.2,活死人之夜（1968）,欧美/惊悚/影史经典,George A. Romero,,,
2024.2.1,一个唱，一个不唱（1977）,欧美/女性,Agnès Varda,,,
2024.1.26,崩溃边缘的女人（1988）,欧美/喜剧,Pedro Almodóvar,,,
2024.1.26,银河铁道之夜（1985）,INFP影像/日影/动画,杉井仪三郎/宫泽贤治,,,
2024.1.21,他的摩托，她的岛（1986）,INFP影像/日影,大林宣彦,,,
2024.1.20,青蛇（1993）,华语/奇观影像,徐克,,,
2024.1.20,刀马旦（1986）,华语/奇观影像,徐克,,,
2024.1.20,致胜法门（1991）,欧美/短片,Hal Hartley,guest,,
2024.1.20,快盗鲁比（1988）,日影,和田诚,,,
2024.1.3,饲养乌鸦（1976）,欧美,Carlos Saura,,,
2024.1.1,梦幻银河（1997）,INFP影像/日影/电波,石井岳龙,,,
2024.1.1,对不起，我们错过了你（2019）,欧美/左翼,Ken Loach/Paul Laverty,guest,,
2023.12.28,脑髓地狱（1988）,日影,松本俊夫,guest,,
2023.12.23,史楚锡流浪记（1977）,欧美,Werner Herzog,guest,,
2023.12.10,冰血暴（1996）,欧美,Coen brothers,guest,,
2023.11.21,神呀神！你为何离弃我？（2005）,日影,青山真治,guest,,
2023.11.19,鲜杀（1994）,欧美/实验,Shu Lea Cheang/Jessica Hagedorn,纽约,,
2023.11.7,夏天 Лето (2021),东欧苏俄/实验,Vadim Kostrov,guest,,
2023.10.7,式日（2000）,INFP影像/日影/电波,庵野秀明,,,
2023.9.24,迷雾中的她（上）（2022）,拉美,Laura Citarella ,无LB单独条目,,
2023.8.28,惠子，凝视（2022）,日影,三宅唱,guest,,
2023.8.13,水中八月（1995）,INFP影像/日影/电波,石井岳龙,,,